Name,Team_to,League_to,Season,Transfer_fee
David Prutton,Southampton,Premier League,2002-2003,3750000
Mart Poom,Sunderland,Premier League,2002-2003,3750000
Marek Jankulovski,Udinese Calcio,Serie A,2002-2003,3500000
Dwight Yorke,Blackburn,Premier League,2002-2003,3500000
Dagui Bakari,Lens,Ligue 1,2002-2003,3500000
Juan,Bay. Leverkusen,Bundesliga,2002-2003,3500000
Jason Koumas,West Brom,Premier League,2002-2003,3450000
Jiri Stajner,Hannover 96,Bundesliga,2002-2003,3100000
Dmitri Sychev,Marseille,Ligue 1,2002-2003,3000000
Angelos Charisteas,Werder Bremen,Bundesliga,2002-2003,3000000
Cosmin Contra,Atlético Madrid,La Liga,2002-2003,3000000
Antti Niemi,Southampton,Premier League,2002-2003,3000000
Rodrigo Fabri,Atlético Madrid,La Liga,2002-2003,3000000
Michael Svensson,Southampton,Premier League,2002-2003,3000000
Marcus Allbäck,Aston Villa,Premier League,2002-2003,3000000
Facundo Sava,Fulham,Premier League,2002-2003,3000000
Richard Dutruel,Alavés,La Liga,2002-2003,2900000
Lee Carsley,Everton,Premier League,2002-2003,2850000
Samuele Dalla Bona,AC Milan,Serie A,2002-2003,2700000
Ulises de la Cruz,Aston Villa,Premier League,2002-2003,2700000
Morten Skoubo,Bor. M'gladbach,Bundesliga,2002-2003,2700000
David Villa,Real Zaragoza,La Liga,2002-2003,2700000
Gabriel Loeschbor,Stade Rennais,Ligue 1,2002-2003,2610000
Manuel Friedrich,Werder Bremen,Bundesliga,2002-2003,2500000
Sasa Bjelanovic,Como,Serie A,2002-2003,2500000
Vladimir Manchev,LOSC Lille,Ligue 1,2002-2003,2500000
Hervé Nzelo-Lembi,1.FC K'lautern,Bundesliga,2002-2003,2500000
Carsten Jancker,Udinese Calcio,Serie A,2002-2003,2500000
Sean Gregan,West Brom,Premier League,2002-2003,2500000
Anthony Le Tallec,Liverpool,Premier League,2002-2003,2500000
David Thompson,Blackburn,Premier League,2002-2003,2250000
Danny Higginbotham,Southampton,Premier League,2002-2003,2250000
Aliou Cissé,Birmingham,Premier League,2002-2003,2250000
Ricardo,Man Utd,Premier League,2002-2003,2230000
Chris Riggott,Middlesbrough,Premier League,2002-2003,2230000
Stefan Postma,Aston Villa,Premier League,2002-2003,2230000
Rade Prica,Hansa Rostock,Bundesliga,2002-2003,2200000
Christoph Preuß,Bay. Leverkusen,Bundesliga,2002-2003,2200000
Olivier Thomert,Lens,Ligue 1,2002-2003,2000000
Ümit Davala,Inter,Serie A,2002-2003,2000000
Gustavo Varela,FC Schalke 04,Bundesliga,2002-2003,2000000
Hanno Balitsch,Bay. Leverkusen,Bundesliga,2002-2003,2000000
René-Salomon Olembé,Marseille,Ligue 1,2002-2003,2000000
Mazhar Abdelrahman,Monaco,Ligue 1,2002-2003,2000000
Shunsuke Nakamura,Reggina,Serie A,2002-2003,2000000
Robbie Savage,Birmingham,Premier League,2002-2003,1880000
Espen Baardsen,Everton,Premier League,2002-2003,1880000
Jamie Clapham,Birmingham,Premier League,2002-2003,1850000
Arne Friedrich,Hertha BSC,Bundesliga,2002-2003,1800000
Sigurd Rushfeldt,Austria Vienna,Bundesliga,2002-2003,1800000
Juan Fernández,Bor. Dortmund,Bundesliga,2002-2003,1650000
Massimo Oddo,Lazio,Serie A,2002-2003,1500000
Alex Frei,Stade Rennais,Ligue 1,2002-2003,1500000
Clemens Fritz,Bay. Leverkusen,Bundesliga,2002-2003,1500000
Marco Caneira,G. Bordeaux,Ligue 1,2002-2003,1500000
Adrian Ilie,Alavés,La Liga,2002-2003,1500000
Cyril Jeunechamp,Stade Rennais,Ligue 1,2002-2003,1500000
Andy Todd,Blackburn,Premier League,2002-2003,1500000
Darren Ambrose,Newcastle,Premier League,2002-2003,1500000
Cyril Domoraud,Espanyol,La Liga,2002-2003,1500000
Matthew Upson,Birmingham,Premier League,2002-2003,1400000
Blaise Nkufo,Hannover 96,Bundesliga,2002-2003,1400000
Bill Tchato,1.FC K'lautern,Bundesliga,2002-2003,1400000
Stephen Clemence,Birmingham,Premier League,2002-2003,1350000
Alexander Manninger,Espanyol,La Liga,2002-2003,1320000
Jiayi Shao,1860 Munich,Bundesliga,2002-2003,1300000
Hermann Hreidarsson,Charlton,Premier League,2002-2003,1200000
Radoslaw Kaluzny,Bay. Leverkusen,Bundesliga,2002-2003,1200000
Mark Kinsella,Aston Villa,Premier League,2002-2003,1150000
François Grenet,Stade Rennais,Ligue 1,2002-2003,1120000
Lee Marshall,West Brom,Premier League,2002-2003,1050000
Kanga Akalé,AJ Auxerre,Ligue 1,2002-2003,1000000
Pablo Thiam,VfL Wolfsburg,Bundesliga,2002-2003,1000000
Philippe Brunel,LOSC Lille,Ligue 1,2002-2003,1000000
Christian Timm,1.FC K'lautern,Bundesliga,2002-2003,1000000
Thomas Thorninger,Udinese Calcio,Serie A,2002-2003,1000000
Filipe Teixeira,Paris SG,Ligue 1,2002-2003,1000000
Mikkel Bischoff,Man City,Premier League,2002-2003,950000
Frédson,Espanyol,La Liga,2002-2003,950000
Apostolos Liolidis,Atalanta,Serie A,2002-2003,900000
Rémo Meyer,1860 Munich,Bundesliga,2002-2003,825000
David Beckham,Real Madrid,La Liga,2003-2004,37500000
Ronaldinho,FC Barcelona,La Liga,2003-2004,32250000
Hernán Crespo,Chelsea,Premier League,2003-2004,26000000
Damien Duff,Chelsea,Premier League,2003-2004,24500000
Adriano,Inter,Serie A,2003-2004,23400000
Juan Sebastián Verón,Chelsea,Premier League,2003-2004,21500000
Sébastien Frey,Parma,Serie A,2003-2004,21000000
Claude Makélélé,Chelsea,Premier League,2003-2004,20000000
José Antonio Reyes,Arsenal,Premier League,2003-2004,20000000
Roy Makaay,Bayern Munich ,Bundesliga,2003-2004,19750000
Adrian Mutu,Chelsea,Premier League,2003-2004,19000000
Cristiano Ronaldo,Man Utd,Premier League,2003-2004,19000000
Cristian Chivu,AS Roma,Serie A,2003-2004,18000000
Louis Saha,Man Utd,Premier League,2003-2004,17500000
Evanilson,Bor. Dortmund,Bundesliga,2003-2004,15000000
Scott Parker,Chelsea,Premier League,2003-2004,14000000
Andy van der Meyde,Inter,Serie A,2003-2004,12000000
Michael Essien,Olympique Lyon,Ligue 1,2003-2004,11700000
Pauleta,Paris SG,Ligue 1,2003-2004,11000000
Wayne Bridge,Chelsea,Premier League,2003-2004,10500000
Jermain Defoe,Spurs,Premier League,2003-2004,10500000
Harry Kewell,Liverpool,Premier League,2003-2004,10000000
Juan Riquelme,Villarreal CF,La Liga,2003-2004,10000000
Njitap Geremi,Chelsea,Premier League,2003-2004,10000000
Reinaldo,Paris SG,Ligue 1,2003-2004,10000000
Joe Cole,Chelsea,Premier League,2003-2004,9900000
Barry Ferguson,Blackburn,Premier League,2003-2004,9750000
Julio Cruz,Inter,Serie A,2003-2004,9500000
Hélder Postiga,Spurs,Premier League,2003-2004,9000000
José Mari,Villarreal CF,La Liga,2003-2004,9000000
Andrés D'Alessandro,VfL Wolfsburg,Bundesliga,2003-2004,9000000
Ousmane Dabo,Lazio,Serie A,2003-2004,8880000
Kléberson,Man Utd,Premier League,2003-2004,8600000
Glen Johnson,Chelsea,Premier League,2003-2004,8300000
Kaká,AC Milan,Serie A,2003-2004,8250000
David Dunn,Birmingham,Premier League,2003-2004,8250000
Stephen Appiah,Juventus,Serie A,2003-2004,8000000
Nicola Legrottaglie,Juventus,Serie A,2003-2004,7000000
Ricardo Quaresma,FC Barcelona,La Liga,2003-2004,6350000
Joseph Yobo,Everton,Premier League,2003-2004,6000000
Mido,Marseille,Ligue 1,2003-2004,6000000
Branko Boskovic,Paris SG,Ligue 1,2003-2004,6000000
Didier Drogba,Marseille,Ligue 1,2003-2004,6000000
Luciano Zauri,Lazio,Serie A,2003-2004,5950000
Anthony Réveillère,Olympique Lyon,Ligue 1,2003-2004,5600000
Aleksey Smertin,Chelsea,Premier League,2003-2004,5500000
Frédéric Kanouté,Spurs,Premier League,2003-2004,5250000
Rafael Márquez,FC Barcelona,La Liga,2003-2004,5250000
Steve Finnan,Liverpool,Premier League,2003-2004,5250000
Olivier Dacourt,AS Roma,Serie A,2003-2004,5250000
Martín Demichelis,Bayern Munich ,Bundesliga,2003-2004,5000000
Albert Riera,G. Bordeaux,Ligue 1,2003-2004,5000000
Ariel Ibagaza,Atlético Madrid,La Liga,2003-2004,5000000
Kevin Phillips,Southampton,Premier League,2003-2004,4850000
Yakubu Aiyegbeni,Portsmouth,Premier League,2003-2004,4750000
Amauri,Chievo Verona,Serie A,2003-2004,4500000
Eric Djemba-Djemba,Man Utd,Premier League,2003-2004,4500000
Deivid,G. Bordeaux,Ligue 1,2003-2004,4500000
Malcolm Christie,Middlesbrough,Premier League,2003-2004,4500000
Andrija Delibasic,RCD Mallorca,La Liga,2003-2004,4500000
Giovane Elber,Olympique Lyon,Ligue 1,2003-2004,4200000
Dejan Stankovic,Inter,Serie A,2003-2004,4000000
Florent Malouda,Olympique Lyon,Ligue 1,2003-2004,4000000
Bonaventure Kalou,AJ Auxerre,Ligue 1,2003-2004,4000000
Chun-soo Lee,Real Sociedad,La Liga,2003-2004,4000000
Kim Källström,Stade Rennais,Ligue 1,2003-2004,3750000
Trevor Sinclair,Man City,Premier League,2003-2004,3750000
Claudio Reyna,Man City,Premier League,2003-2004,3750000
Luciano Figueroa,Birmingham,Premier League,2003-2004,3750000
Steven Reid,Blackburn,Premier League,2003-2004,3600000
Philippe Senderos,Arsenal,Premier League,2003-2004,3550000
Júlio Baptista,Sevilla FC,La Liga,2003-2004,3500000
Gabriel Milito,Real Zaragoza,La Liga,2003-2004,3500000
Jens Lehmann,Arsenal,Premier League,2003-2004,3500000
Collins John,Fulham,Premier League,2003-2004,3500000
Gavin McCann,Aston Villa,Premier League,2003-2004,3380000
Danijel Ljuboja,Paris SG,Ligue 1,2003-2004,3300000
Tim Howard,Man Utd,Premier League,2003-2004,3200000
Emmanuel Adebayor,Monaco,Ligue 1,2003-2004,3200000
Cesc Fàbregas,Arsenal,Premier League,2003-2004,3200000
Kiki Musampa,Atlético Madrid,La Liga,2003-2004,3000000
David Bellion,Man Utd,Premier League,2003-2004,3000000
Jérémie Bréchet,Inter,Serie A,2003-2004,3000000
Thomas Sörensen,Aston Villa,Premier League,2003-2004,3000000
Modeste M'Bami,Paris SG,Ligue 1,2003-2004,3000000
Brett Emerton,Blackburn,Premier League,2003-2004,3000000
Carl Cort,Wolves,Premier League,2003-2004,3000000
Marco Streller,VfB Stuttgart,Bundesliga,2003-2004,3000000
Vedin Music,Modena,Serie A,2003-2004,3000000
Simon Jentzsch,VfL Wolfsburg,Bundesliga,2003-2004,2850000
Sebastián Battaglia,Villarreal CF,La Liga,2003-2004,2800000
David James,Man City,Premier League,2003-2004,2800000
Mauricio Pinilla,Inter,Serie A,2003-2004,2800000
Kily González,Inter,Serie A,2003-2004,2500000
Gustavo Munúa,Dep. La Coruña,La Liga,2003-2004,2500000
Hakan Yakin,VfB Stuttgart,Bundesliga,2003-2004,2500000
Stepan Vachousek,Marseille,Ligue 1,2003-2004,2500000
Dejan Stefanovic,Portsmouth,Premier League,2003-2004,2500000
Ianis Zicu,Inter,Serie A,2003-2004,2500000
Thomas Christiansen,Hannover 96,Bundesliga,2003-2004,2500000
Mbulelo Mabizela,Spurs,Premier League,2003-2004,2300000
Eyal Berkovic,Man City,Premier League,2003-2004,2300000
Henri Camara,Wolves,Premier League,2003-2004,2250000
Silas,Wolves,Premier League,2003-2004,2250000
Tobias Rau,Bayern Munich ,Bundesliga,2003-2004,2250000
Maik Taylor,Birmingham,Premier League,2003-2004,2250000
Amdy Fayé,Portsmouth,Premier League,2003-2004,2230000
Neil McCann,Southampton,Premier League,2003-2004,2230000
Lorenzo Amoruso,Blackburn,Premier League,2003-2004,2100000
Bobby Zamora,Spurs,Premier League,2003-2004,2000000
Guillermo Pereyra,RCD Mallorca,La Liga,2003-2004,2000000
Luca Antonini,Sampdoria,Serie A,2003-2004,2000000
Nolberto Solano,Aston Villa,Premier League,2003-2004,2000000
Ricardinho,Middlesbrough,Premier League,2003-2004,2000000
Jody Craddock,Wolves,Premier League,2003-2004,2000000
Emanuel Centurión,VfB Stuttgart,Bundesliga,2003-2004,2000000
Nicola Pozzi,AC Milan,Serie A,2003-2004,2000000
Jon Stead,Blackburn,Premier League,2003-2004,1880000
Vratislav Gresko,Blackburn,Premier League,2003-2004,1800000
Moumouni Dagano,Guingamp,Ligue 1,2003-2004,1800000
Valdo,CA Osasuna,La Liga,2003-2004,1800000
Hamit Altintop,FC Schalke 04,Bundesliga,2003-2004,1800000
Emiliano Moretti,Parma,Serie A,2003-2004,1800000
James McFadden,Everton,Premier League,2003-2004,1750000
Laurent Batlles,Marseille,Ligue 1,2003-2004,1650000
Hakan Yakin,Paris SG,Ligue 1,2003-2004,1600000
Ian Pearce,Fulham,Premier League,2003-2004,1600000
Martin Taylor,Birmingham,Premier League,2003-2004,1600000
Rudi Skácel,Marseille,Ligue 1,2003-2004,1600000
Tore André Flo,Siena,Serie A,2003-2004,1500000
Vaclav Sverkos,Bor. M'gladbach,Bundesliga,2003-2004,1500000
Cédric Barbosa,Stade Rennais,Ligue 1,2003-2004,1500000
Claudiu Raducanu,Espanyol,La Liga,2003-2004,1500000
Paul Bosvelt,Man City,Premier League,2003-2004,1500000
Kevin Kilbane,Everton,Premier League,2003-2004,1250000
Matt Holland,Charlton,Premier League,2003-2004,1250000
Niclas Jensen,Bor. Dortmund,Bundesliga,2003-2004,1250000
Fernando,1860 Munich,Bundesliga,2003-2004,1200000
Habib Bèye,Marseille,Ligue 1,2003-2004,1100000
Antoine Sibierski,Man City,Premier League,2003-2004,1100000
Roberto Muzzi,Lazio,Serie A,2003-2004,1100000
Moritz Volz,Fulham,Premier League,2003-2004,1000000
Didier Drogba,Chelsea,Premier League,2004-2005,38500000
Wayne Rooney,Man Utd,Premier League,2004-2005,37000000
Ricardo Carvalho,Chelsea,Premier League,2004-2005,30000000
Émerson,Juventus,Serie A,2004-2005,28000000
Samuel Eto'o,FC Barcelona,La Liga,2004-2005,27000000
Wálter Samuel,Real Madrid,La Liga,2004-2005,25000000
Deco,FC Barcelona,La Liga,2004-2005,21000000
Paulo Ferreira,Chelsea,Premier League,2004-2005,20000000
Djibril Cissé,Liverpool,Premier League,2004-2005,20000000
Jonathan Woodgate,Real Madrid,La Liga,2004-2005,18300000
Arjen Robben,Chelsea,Premier League,2004-2005,18000000
Stefano Fiore,Valencia CF,La Liga,2004-2005,17000000
Xabi Alonso,Liverpool,Premier League,2004-2005,16000000
Matteo Brighi,AS Roma,Serie A,2004-2005,16000000
Zlatan Ibrahimovic,Juventus,Serie A,2004-2005,16000000
Tiago,Chelsea,Premier League,2004-2005,15000000
Valeri Bojinov,Fiorentina,Serie A,2004-2005,14000000
Petr Cech,Chelsea,Premier League,2004-2005,13000000
Jiri Jarosik,Chelsea,Premier League,2004-2005,12000000
Michael Owen,Real Madrid,La Liga,2004-2005,12000000
Lúcio,Bayern Munich ,Bundesliga,2004-2005,12000000
Alex,Chelsea,Premier League,2004-2005,11500000
Matteo Brighi,Juventus,Serie A,2004-2005,11500000
Jean-Alain Boumsong,Newcastle,Premier League,2004-2005,11300000
Marco Di Vaio,Valencia CF,La Liga,2004-2005,11000000
Jaap Stam,AC Milan,Serie A,2004-2005,10500000
Gabriel Heinze,Man Utd,Premier League,2004-2005,10000000
Fabio Cannavaro,Juventus,Serie A,2004-2005,10000000
Jérôme Rothen,Paris SG,Ligue 1,2004-2005,10000000
Péguy Luyindula,Marseille,Ligue 1,2004-2005,10000000
Javier Chevantón,Monaco,Ligue 1,2004-2005,10000000
Mario Yepes,Paris SG,Ligue 1,2004-2005,10000000
Emile Heskey,Birmingham,Premier League,2004-2005,9320000
Fernando Morientes,Liverpool,Premier League,2004-2005,9250000
Torsten Frings,Bayern Munich ,Bundesliga,2004-2005,9250000
James Beattie,Everton,Premier League,2004-2005,9000000
Papa Bouba Diop,Fulham,Premier League,2004-2005,9000000
Alan Smith,Man Utd,Premier League,2004-2005,9000000
Luis García,Liverpool,Premier League,2004-2005,8750000
Éric Abidal,Olympique Lyon,Ligue 1,2004-2005,8500000
Ludovic Giuly,FC Barcelona,La Liga,2004-2005,8500000
Pierre-Alain Frau,Olympique Lyon,Ligue 1,2004-2005,8500000
Andy Reid,Spurs,Premier League,2004-2005,8000000
Edmílson,FC Barcelona,La Liga,2004-2005,8000000
Goran Pandev,Lazio,Serie A,2004-2005,8000000
Mateja Kezman,Chelsea,Premier League,2004-2005,7500000
Tomás Ujfalusi,Fiorentina,Serie A,2004-2005,7500000
James Milner,Newcastle,Premier League,2004-2005,7400000
Simone Perrotta,AS Roma,Serie A,2004-2005,7200000
Michael Dawson,Spurs,Premier League,2004-2005,7000000
Philippe Mexès,AS Roma,Serie A,2004-2005,7000000
Fabrizio Miccoli,Fiorentina,Serie A,2004-2005,7000000
Matteo Ferrari,AS Roma,Serie A,2004-2005,7000000
Mark Viduka,Middlesbrough,Premier League,2004-2005,6750000
Giampaolo Pazzini,Fiorentina,Serie A,2004-2005,6500000
Maxi López,FC Barcelona,La Liga,2004-2005,6500000
Giorgio Chiellini,Fiorentina,Serie A,2004-2005,6500000
Luciano Figueroa,Villarreal CF,La Liga,2004-2005,6200000
Dean Ashton,Norwich,Premier League,2004-2005,6000000
Mido,AS Roma,Serie A,2004-2005,6000000
Juliano Belletti,FC Barcelona,La Liga,2004-2005,6000000
Eduardo Costa,Marseille,Ligue 1,2004-2005,6000000
Nilmar,Olympique Lyon,Ligue 1,2004-2005,5750000
Edú,Real Betis,La Liga,2004-2005,5500000
Dario Dainelli,Fiorentina,Serie A,2004-2005,5500000
Stephen Makinwa,Atalanta,Serie A,2004-2005,5400000
Gerard Piqué,Man Utd,Premier League,2004-2005,5250000
Sean Davis,Spurs,Premier League,2004-2005,5200000
Fabricio Coloccini,Dep. La Coruña,La Liga,2004-2005,5000000
Miroslav Klose,Werder Bremen,Bundesliga,2004-2005,5000000
Mohamed Kallon,Monaco,Ligue 1,2004-2005,5000000
Simone Barone,US Palermo,Serie A,2004-2005,5000000
Benoît Pedretti,Marseille,Ligue 1,2004-2005,5000000
Manuel Almunia,Arsenal,Premier League,2004-2005,5000000
Sylvain Armand,Paris SG,Ligue 1,2004-2005,5000000
Peter Luccin,Atlético Madrid,La Liga,2004-2005,5000000
Robbie Savage,Blackburn,Premier League,2004-2005,4500000
Thimothée Atouba,Spurs,Premier League,2004-2005,4500000
Robert Earnshaw,West Brom,Premier League,2004-2005,4500000
Robin van Persie,Arsenal,Premier League,2004-2005,4500000
Michael Carrick,Spurs,Premier League,2004-2005,4100000
Benjamin Lauth,Hamburger SV,Bundesliga,2004-2005,4100000
Mikel Arteta,Real Sociedad,La Liga,2004-2005,4000000
Marcelo Bordon,FC Schalke 04,Bundesliga,2004-2005,4000000
Martin Laursen,Aston Villa,Premier League,2004-2005,4000000
Ricardo Oliveira,Real Betis,La Liga,2004-2005,4000000
Francis Jeffers,Charlton,Premier League,2004-2005,3900000
Daniel Van Buyten,Hamburger SV,Bundesliga,2004-2005,3800000
Martin Albrechtsen,West Brom,Premier League,2004-2005,3750000
Nicky Butt,Newcastle,Premier League,2004-2005,3750000
Cris,Olympique Lyon,Ligue 1,2004-2005,3500000
Paul Freier,Bay. Leverkusen,Bundesliga,2004-2005,3500000
Ariza Makukula,Sevilla FC,La Liga,2004-2005,3500000
Dennis Rommedahl,Charlton,Premier League,2004-2005,3500000
Mariano González,US Palermo,Serie A,2004-2005,3500000
Nicolás Burdisso,Inter,Serie A,2004-2005,3500000
Thomas Gravesen,Real Madrid,La Liga,2004-2005,3400000
Luis Perea,Atlético Madrid,La Liga,2004-2005,3300000
Jesper Grönkjaer,Birmingham,Premier League,2004-2005,3300000
Danny Murphy,Charlton,Premier League,2004-2005,3250000
Diego Forlán,Villarreal CF,La Liga,2004-2005,3200000
Nigel Quashie,Southampton,Premier League,2004-2005,3150000
Amdy Fayé,Newcastle,Premier League,2004-2005,3000000
Maicon,Monaco,Ligue 1,2004-2005,3000000
Pablo Ibáñez,Atlético Madrid,La Liga,2004-2005,3000000
Paul Robinson,Spurs,Premier League,2004-2005,3000000
Pedro Mendes,Spurs,Premier League,2004-2005,3000000
Ilan,FC Sochaux,Ligue 1,2004-2005,3000000
Daniel Moreira,Toulouse,Ligue 1,2004-2005,3000000
Habib Bamogo,Marseille,Ligue 1,2004-2005,3000000
Éric Carrière,Lens,Ligue 1,2004-2005,3000000
Stephen Carr,Newcastle,Premier League,2004-2005,3000000
Fabrice Fiorèse,Marseille,Ligue 1,2004-2005,3000000
Julio Cáceres,FC Nantes,Ligue 1,2004-2005,3000000
Juan Carlos Menseguez,VfL Wolfsburg,Bundesliga,2004-2005,3000000
Tomasz Radzinski,Fulham,Premier League,2004-2005,3000000
Josemi,Liverpool,Premier League,2004-2005,3000000
Florin Bratu,FC Nantes,Ligue 1,2004-2005,3000000
Jelle Van Damme,Southampton,Premier League,2004-2005,3000000
Peter Crouch,Southampton,Premier League,2004-2005,3000000
Eric Djemba-Djemba,Aston Villa,Premier League,2004-2005,2540000
Sergey Semak,Paris SG,Ligue 1,2004-2005,2500000
Emile Mpenza,Hamburger SV,Bundesliga,2004-2005,2500000
Ricardo Fuller,Portsmouth,Premier League,2004-2005,2500000
Adailton,Stade Rennais,Ligue 1,2004-2005,2500000
Andreas Görlitz,Bayern Munich ,Bundesliga,2004-2005,2500000
Júlio César,Inter,Serie A,2004-2005,2450000
Fabrizio Miccoli,Juventus,Serie A,2004-2005,2400000
Noé Pamarot,Spurs,Premier League,2004-2005,2400000
Mathieu Berson,Aston Villa,Premier League,2004-2005,2300000
Marek Heinz,Bor. M'gladbach,Bundesliga,2004-2005,2300000
Robbie Blake,Birmingham,Premier League,2004-2005,2250000
Richard Chaplow,West Brom,Premier League,2004-2005,2250000
Lomana LuaLua,Portsmouth,Premier League,2004-2005,2250000
Zoltán Gera,West Brom,Premier League,2004-2005,2250000
Fitz Hall,Crystal Palace,Premier League,2004-2005,2250000
Morten Gamst Pedersen,Blackburn,Premier League,2004-2005,2250000
Emmanuel Eboué,Arsenal,Premier League,2004-2005,2200000
Vladimir Manchev,Levante UD,La Liga,2004-2005,2200000
Tim Cahill,Everton,Premier League,2004-2005,2200000
Adriano,Sevilla FC,La Liga,2004-2005,2100000
Jesper Grönkjaer,Atlético Madrid,La Liga,2004-2005,2000000
Sebastian Mila,Austria Vienna,Bundesliga,2004-2005,2000000
Jussiê,Lens,Ligue 1,2004-2005,2000000
Kevin Hofland,VfL Wolfsburg,Bundesliga,2004-2005,2000000
Marco Caneira,Valencia CF,La Liga,2004-2005,2000000
Vahid Hashemian,Bayern Munich ,Bundesliga,2004-2005,2000000
Erik Edman,Spurs,Premier League,2004-2005,2000000
Davide Possanzini,US Palermo,Serie A,2004-2005,1900000
Claus Jensen,Fulham,Premier League,2004-2005,1900000
Andreas Jakobsson,Southampton,Premier League,2004-2005,1800000
Calum Davenport,Spurs,Premier League,2004-2005,1800000
Jonathan Greening,West Brom,Premier League,2004-2005,1750000
Andreas Isaksson,Stade Rennais,Ligue 1,2004-2005,1700000
Juan Pablo Sorín,Villarreal CF,La Liga,2004-2005,1500000
